dataset_name,dataset_version,filename,source_url,local_path,size_bytes,sha256
Kodak-PCD0992,unrestricted public release,kodim01.png,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/Kodak-PCD0992/kodim01.png,data/natural_objects/kodak-pcd0992-unrestricted-public-release/kodim01.png,736501,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd
Kodak-PCD0992,unrestricted public release,kodim02.png,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/Kodak-PCD0992/kodim02.png,data/natural_objects/kodak-pcd0992-unrestricted-public-release/kodim02.png,617995,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd
Kodak-PCD0992,unrestricted public release,kodim03.png,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/Kodak-PCD0992/kodim03.png,data/natural_objects/kodak-pcd0992-unrestricted-public-release/kodim03.png,502888,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db
Kodak-PCD0992,unrestricted public release,kodim04.png,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/Kodak-PCD0992/kodim04.png,data/natural_objects/kodak-pcd0992-unrestricted-public-release/kodim04.png,637432,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa
Kodak-PCD0992,unrestricted public release,kodim05.png,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/Kodak-PCD0992/kodim05.png,data/natural_objects/kodak-pcd0992-unrestricted-public-release/kodim05.png,785610,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53
Kodak-PCD0992,unrestricted public release,kodim06.png,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/Kodak-PCD0992/kodim06.png,data/natural_objects/kodak-pcd0992-unrestricted-public-release/kodim06.png,618959,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18
Kodak-PCD0992,unrestricted public release,kodim07.png,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/Kodak-PCD0992/kodim07.png,data/natural_objects/kodak-pcd0992-unrestricted-public-release/kodim07.png,566322,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4
Kodak-PCD0992,unrestricted public release,kodim08.png,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/Kodak-PCD0992/kodim08.png,data/natural_objects/kodak-pcd0992-unrestricted-public-release/kodim08.png,788470,ba23983c76b4832ee0e8af0592664756841a16779acd69f792e268fb6d13d6e7
Kodak-PCD0992,unrestricted public release,kodim09.png,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/Kodak-PCD0992/kodim09.png,data/natural_objects/kodak-pcd0992-unrestricted-public-release/kodim09.png,582899,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d
Kodak-PCD0992,unrestricted public release,kodim10.png,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/Kodak-PCD0992/kodim10.png,data/natural_objects/kodak-pcd0992-unrestricted-public-release/kodim10.png,593463,9dfb70f5867c29ff9ed6313683f19b3d867849e40fbc0c4c54a4a89df341cf23
Kodak-PCD0992,unrestricted public release,kodim11.png,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/Kodak-PCD0992/kodim11.png,data/natural_objects/kodak-pcd0992-unrestricted-public-release/kodim11.png,621023,7936814b58b5387fce2e4e2488b4ec830dadd95fa9520f358ddb30990b50f2b6
Kodak-PCD0992,unrestricted public release,kodim12.png,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/Kodak-PCD0992/kodim12.png,data/natural_objects/kodak-pcd0992-unrestricted-public-release/kodim12.png,531024,d78c37c2f04f23761ed2367dd77e2db584ddd4c3950833fecf89f199a8126980
UCID,1338 public citation subset,1.tif,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/UCID-1338/1.tif,data/natural_objects/ucid-1338-public-citation-subset/1.tif,590864,8b40b5aeb1fafcd783669ef5d6dea28a266eb7ee72af6115134f46e076e10a11
UCID,1338 public citation subset,2.tif,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/UCID-1338/2.tif,data/natural_objects/ucid-1338-public-citation-subset/2.tif,590840,801b51d78abb1872f8c8086c3285698de54ae7faf5d649ddbaaba184cd446438
UCID,1338 public citation subset,3.tif,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/UCID-1338/3.tif,data/natural_objects/ucid-1338-public-citation-subset/3.tif,590864,f95cbc0d728c30eb2aabeeea36ecec968a2f414b4ab3d1538828ba2482a89d89
UCID,1338 public citation subset,4.tif,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/UCID-1338/4.tif,data/natural_objects/ucid-1338-public-citation-subset/4.tif,590864,04d3a97c44cbe5ed4b12cded1e0ad489c37244bb6cbe19de1b9f6af56a93ece6
UCID,1338 public citation subset,5.tif,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/UCID-1338/5.tif,data/natural_objects/ucid-1338-public-citation-subset/5.tif,590864,fd5784f131777eb7e83aec5c902607a9a3235aff3619c1c76eaeacdcb4adf128
UCID,1338 public citation subset,6.tif,https://raw.githubusercontent.com/girfa/ColorImageDatasets/main/UCID-1338/6.tif,data/natural_objects/ucid-1338-public-citation-subset/6.tif,590864,06ac4daad4ef1fbe77d09b208f0822cb75a38ff88c764803f9c76c40c45fd994
